Timestamp,Human readable date,a4cf12c65fb8_flowrate,a4cf12c65fb8_litros,a4cf12c65fb8_mililitros,a4cf12c65fb8_segundos,context_a4cf12c65fb8_flowrate,context_a4cf12c65fb8_litros,context_a4cf12c65fb8_mililitros,context_a4cf12c65fb8_segundos,created_at_a4cf12c65fb8_flowrate,created_at_a4cf12c65fb8_litros,created_at_a4cf12c65fb8_mililitros,created_at_a4cf12c65fb8_segundos
1641570022922,2022-01-07 09:40:22,0.0,0.0,0.0,1104418.0,{},{},{},{},1641570022922,1641570022922,1641570022922,1641570022922
1641569962942,2022-01-07 09:39:22,0.0,0.0,0.0,1104358.0,{},{},{},{},1641569962942,1641569962942,1641569962942,1641569962942
1641569903019,2022-01-07 09:38:23,0.0,0.0,0.0,1104298.0,{},{},{},{},1641569903019,1641569903019,1641569903019,1641569903019
1641569842913,2022-01-07 09:37:22,0.0,0.0,0.0,1104238.0,{},{},{},{},1641569842913,1641569842913,1641569842913,1641569842913
1641569782905,2022-01-07 09:36:22,0.0,0.0,0.0,1104178.0,{},{},{},{},1641569782905,1641569782905,1641569782905,1641569782905
1641569722949,2022-01-07 09:35:22,0.0,0.0,0.0,1104118.0,{},{},{},{},1641569722949,1641569722949,1641569722949,1641569722949
1641569662932,2022-01-07 09:34:22,0.0,0.0,0.0,1104058.0,{},{},{},{},1641569662932,1641569662932,1641569662932,1641569662932
1641569602989,2022-01-07 09:33:22,0.0,0.0,0.0,1103998.0,{},{},{},{},1641569602989,1641569602989,1641569602989,1641569602989
1641569542909,2022-01-07 09:32:22,0.0,0.0,0.0,1103938.0,{},{},{},{},1641569542909,1641569542909,1641569542909,1641569542909
1641569482947,2022-01-07 09:31:22,0.0,0.0,0.0,1103878.0,{},{},{},{},1641569482947,1641569482947,1641569482947,1641569482947
1641569422999,2022-01-07 09:30:22,0.0,0.0,0.0,1103818.0,{},{},{},{},1641569422999,1641569422999,1641569422999,1641569422999
1641569362934,2022-01-07 09:29:22,0.0,0.0,0.0,1103758.0,{},{},{},{},1641569362934,1641569362934,1641569362934,1641569362934
1641569303038,2022-01-07 09:28:23,0.0,0.0,0.0,1103698.0,{},{},{},{},1641569303038,1641569303038,1641569303038,1641569303038
1641569245025,2022-01-07 09:27:25,0.0,0.0,0.0,1103638.0,{},{},{},{},1641569245025,1641569245025,1641569245025,1641569245025
1641569183061,2022-01-07 09:26:23,0.0,0.0,0.0,1103578.0,{},{},{},{},1641569183061,1641569183061,1641569183061,1641569183061
1641569122938,2022-01-07 09:25:22,0.0,0.0,0.0,1103518.0,{},{},{},{},1641569122938,1641569122938,1641569122938,1641569122938
1641569063004,2022-01-07 09:24:23,0.0,0.0,0.0,1103458.0,{},{},{},{},1641569063004,1641569063004,1641569063004,1641569063004
1641569002957,2022-01-07 09:23:22,0.0,0.0,0.0,1103398.0,{},{},{},{},1641569002957,1641569002957,1641569002957,1641569002957
1641568942935,2022-01-07 09:22:22,0.0,0.0,0.0,1103338.0,{},{},{},{},1641568942935,1641568942935,1641568942935,1641568942935
1641568883232,2022-01-07 09:21:23,0.0,0.0,0.0,1103278.0,{},{},{},{},1641568883232,1641568883232,1641568883232,1641568883232
1641568822995,2022-01-07 09:20:22,0.0,0.0,0.0,1103218.0,{},{},{},{},1641568822995,1641568822995,1641568822995,1641568822995
1641568763195,2022-01-07 09:19:23,0.0,0.0,0.0,1103158.0,{},{},{},{},1641568763195,1641568763195,1641568763195,1641568763195
1641568703018,2022-01-07 09:18:23,0.0,0.0,0.0,1103098.0,{},{},{},{},1641568703018,1641568703018,1641568703018,1641568703018
1641568644971,2022-01-07 09:17:24,0.0,0.0,0.0,1103038.0,{},{},{},{},1641568644971,1641568644971,1641568644971,1641568644971
1641568583126,2022-01-07 09:16:23,0.0,0.0,0.0,1102978.0,{},{},{},{},1641568583126,1641568583126,1641568583126,1641568583126
1641568523039,2022-01-07 09:15:23,0.0,0.0,0.0,1102918.0,{},{},{},{},1641568523039,1641568523039,1641568523039,1641568523039
1641568463048,2022-01-07 09:14:23,0.0,0.0,0.0,1102858.0,{},{},{},{},1641568463048,1641568463048,1641568463048,1641568463048
1641568402924,2022-01-07 09:13:22,0.0,0.0,0.0,1102798.0,{},{},{},{},1641568402924,1641568402924,1641568402924,1641568402924
1641568345211,2022-01-07 09:12:25,0.0,0.0,0.0,1102738.0,{},{},{},{},1641568345211,1641568345211,1641568345211,1641568345211
1641568282913,2022-01-07 09:11:22,0.0,0.0,0.0,1102678.0,{},{},{},{},1641568282913,1641568282913,1641568282913,1641568282913
1641568222904,2022-01-07 09:10:22,0.0,0.0,0.0,1102618.0,{},{},{},{},1641568222904,1641568222904,1641568222904,1641568222904
1641568162960,2022-01-07 09:09:22,0.0,0.0,0.0,1102558.0,{},{},{},{},1641568162960,1641568162960,1641568162960,1641568162960
1641568103623,2022-01-07 09:08:23,0.0,0.0,0.0,1102498.0,{},{},{},{},1641568103623,1641568103623,1641568103623,1641568103623
1641568042942,2022-01-07 09:07:22,0.0,0.0,0.0,1102438.0,{},{},{},{},1641568042942,1641568042942,1641568042942,1641568042942
1641567983046,2022-01-07 09:06:23,0.0,0.0,0.0,1102378.0,{},{},{},{},1641567983046,1641567983046,1641567983046,1641567983046
1641567923101,2022-01-07 09:05:23,0.0,0.0,0.0,1102318.0,{},{},{},{},1641567923101,1641567923101,1641567923101,1641567923101
1641567862967,2022-01-07 09:04:22,0.0,0.0,0.0,1102258.0,{},{},{},{},1641567862967,1641567862967,1641567862967,1641567862967
1641567803124,2022-01-07 09:03:23,0.0,0.0,0.0,1102198.0,{},{},{},{},1641567803124,1641567803124,1641567803124,1641567803124
1641567742966,2022-01-07 09:02:22,0.0,0.0,0.0,1102139.0,{},{},{},{},1641567742966,1641567742966,1641567742966,1641567742966
1641567683117,2022-01-07 09:01:23,0.0,0.0,0.0,1102078.0,{},{},{},{},1641567683117,1641567683117,1641567683117,1641567683117
1641567622924,2022-01-07 09:00:22,0.0,0.0,0.0,1102018.0,{},{},{},{},1641567622924,1641567622924,1641567622924,1641567622924
1641567562955,2022-01-07 08:59:22,0.0,0.0,0.0,1101958.0,{},{},{},{},1641567562955,1641567562955,1641567562955,1641567562955
1641567503008,2022-01-07 08:58:23,0.0,0.0,0.0,1101898.0,{},{},{},{},1641567503008,1641567503008,1641567503008,1641567503008
1641567442929,2022-01-07 08:57:22,0.0,0.0,0.0,1101838.0,{},{},{},{},1641567442929,1641567442929,1641567442929,1641567442929
1641567385282,2022-01-07 08:56:25,0.0,0.0,0.0,1101778.0,{},{},{},{},1641567385282,1641567385282,1641567385282,1641567385282
1641567323312,2022-01-07 08:55:23,0.0,0.0,0.0,1101718.0,{},{},{},{},1641567323312,1641567323312,1641567323312,1641567323312
1641567262938,2022-01-07 08:54:22,0.0,0.0,0.0,1101658.0,{},{},{},{},1641567262938,1641567262938,1641567262938,1641567262938
1641567202927,2022-01-07 08:53:22,0.0,0.0,0.0,1101598.0,{},{},{},{},1641567202927,1641567202927,1641567202927,1641567202927
1641567143088,2022-01-07 08:52:23,0.0,0.0,0.0,1101538.0,{},{},{},{},1641567143088,1641567143088,1641567143088,1641567143088
1641567083271,2022-01-07 08:51:23,0.0,0.0,0.0,1101478.0,{},{},{},{},1641567083271,1641567083271,1641567083271,1641567083271
1641567022953,2022-01-07 08:50:22,0.0,0.0,0.0,1101418.0,{},{},{},{},1641567022953,1641567022953,1641567022953,1641567022953
1641566963213,2022-01-07 08:49:23,0.0,0.0,0.0,1101358.0,{},{},{},{},1641566963213,1641566963213,1641566963213,1641566963213
1641566903004,2022-01-07 08:48:23,0.0,0.0,0.0,1101298.0,{},{},{},{},1641566903004,1641566903004,1641566903004,1641566903004
